og_image,updated_image,descriptions,set,group
https://i.postimg.cc/3wvyVHpd/Avatar-Maker.png,https://i.postimg.cc/7ZcGKL5F/Avatar-Maker-1.png,"['Make the eyebrows thicker', 'Left avatar must enhance eyebrows to thicken them']",1,1
https://i.postimg.cc/3wvyVHpd/Avatar-Maker.png,https://i.postimg.cc/ydCJzrXn/Avatar-Maker-2.png,"['Left avatar must open her eyes as widely as she possibly can', 'in the first one she look normal, in the second one she look surprised because of her eyes', 'Turn the eyes into giant circular eyes']",1,2
https://i.postimg.cc/3wvyVHpd/Avatar-Maker.png,https://i.postimg.cc/vB748L0y/Avatar-Maker-3.png,"['Open the mouth and show the teeth while smiling', 'Left avatar must open lips in pleasant smile']",1,3
https://i.postimg.cc/3wvyVHpd/Avatar-Maker.png,https://i.postimg.cc/XvLMVr9h/Avatar-Maker-4.png,"['make the eyes open wide and round thicken the eyebrows', 'Left avatar must open eyes widely', 'Enlarge the eyes']",1,4
https://i.postimg.cc/3wvyVHpd/Avatar-Maker.png,https://i.postimg.cc/2yqgFTgR/Avatar-Maker-5.png,"['Make the eyes much larger and circular, open the mouth to reveal teeth while smiling', 'in the first one she look more chill, and in the second her eyes and mouth make her look excited', 'Left avatar must open her eyes as widely as she possibly can. Additionally, she needs to broaden her smile and expose her teeth']",1,5
https://i.postimg.cc/3wvyVHpd/Avatar-Maker.png,https://i.postimg.cc/FRHM1hZK/Avatar-Maker-6.png,"['She was serious, but soon after she was happy.', 'in the first one she look normal and her smile in the second one make her look happy', 'Left avatar must smile with teeth exposed and enhance eyebrows to add thickness']",1,6
https://i.postimg.cc/3wvyVHpd/Avatar-Maker.png,https://i.postimg.cc/fLq6912f/Avatar-Maker-7.png,"['Left avatar must open eyes very widely, smile and expose teeth, and enhance eyebrows to add thickness', 'The avatar needs to widen their eyes, smile, and draw on thicker eyebrows.']",1,7
https://i.postimg.cc/kGqP9Wpk/Avatar-Maker.png,https://i.postimg.cc/0yBvmMzw/Avatar-Maker-1.png,"['Left avatar must have her eyebrows waxed to make them more thin, and additionally she needs to change her eyebrow position from an angry position to a worry position', 'make the eyebrows thin and sharp']",2,1
https://i.postimg.cc/kGqP9Wpk/Avatar-Maker.png,https://i.postimg.cc/Zn77g3tP/Avatar-Maker-2.png,"['Enlarge the eyes and make the pupils more visible', 'The bottom eyelashes are showing under the eyeglasses.']",2,2
https://i.postimg.cc/kGqP9Wpk/Avatar-Maker.png,https://i.postimg.cc/cHqN9pM1/Avatar-Maker-3.png,"['Left avatar should shut her mouth! She should close her lips so her teeth are no longer exposed then she should adopt a small smile', 'Close the mouth and make the mouth look a little like a smirk', 'Close the avatars mouth and make them smile just a little bit.']",2,3
https://i.postimg.cc/kGqP9Wpk/Avatar-Maker.png,https://i.postimg.cc/85hgqZtR/Avatar-Maker-4.png,"['Left avatar must groom her eyebrows to make them more thin and additionally adjust her eyebrow position from an angry position to a concerned position', 'make the eye brows thin and draw eyelashes', 'in the first one her eyes make she look angry, in the second her eyes and eyebrown make she look sad and disappointed']",2,4
https://i.postimg.cc/kGqP9Wpk/Avatar-Maker.png,https://i.postimg.cc/J75Wxdym/Avatar-Maker-5.png,"['close the mouth and draw eye lashes', 'Close the mouth to stop showing teeth and make the eyelashes darker']",2,5
https://i.postimg.cc/kGqP9Wpk/Avatar-Maker.png,https://i.postimg.cc/WbpcH6rZ/Avatar-Maker-6.png,"['Left avatar must widen eyes slightly and change eyebrow position from angry to worried', 'in the first one she look mad, but in the second one her eyes and eyebrown make her look sad and disappointed', 'thin the eyebrows and draw eyelashes']",2,6
https://i.postimg.cc/kGqP9Wpk/Avatar-Maker.png,https://i.postimg.cc/j2c0jLVC/Avatar-Maker-7.png,"['She was angry, but soon afterwards she was sentimental.', 'in the first one her eyebrown, eyes and mouth make her look angry, but in the second one she looks compassionate', 'Widen the eyes and make the eyebrows appear higher up and close the mouth but smile']",2,7
https://i.postimg.cc/PqJbxqcJ/Avatar-Maker.png,https://i.postimg.cc/xTG3phMf/Avatar-Maker-1.png,[],3,1
https://i.postimg.cc/PqJbxqcJ/Avatar-Maker.png,https://i.postimg.cc/L8HBcD3z/Avatar-Maker-2.png,"['Left avatar must open eyes more widely', 'in the first one he look tired, in the second his eyes make he look surprised', 'open both eyes wider.']",3,2
https://i.postimg.cc/PqJbxqcJ/Avatar-Maker.png,https://i.postimg.cc/Fz50DVKk/Avatar-Maker-3.png,['Change the avatars mouth from a smile to a frown.'],3,3
https://i.postimg.cc/PqJbxqcJ/Avatar-Maker.png,https://i.postimg.cc/GmqJdDX6/Avatar-Maker-4.png,"['Enlarge the eyes a lot and flip the eyebrows upside down', 'Left avatar must open eyes more widely and also adjust eyebrow position to a worried look']",3,4
https://i.postimg.cc/PqJbxqcJ/Avatar-Maker.png,https://i.postimg.cc/BvzT109g/Avatar-Maker-5.png,"['make the eyes wide open and round', 'in the first one he look tired because of his eyes, in the second his mouth and eyes make he look sad', 'Make the eyes much larger']",3,5
https://i.postimg.cc/PqJbxqcJ/Avatar-Maker.png,https://i.postimg.cc/G2skF5b1/Avatar-Maker-6.png,"['Flip the eyebrows to make them look closer to the shape of the letter U', 'Left avatar must adjust eyebrow position to a more worried and desperate look, one of despair']",3,6
https://i.postimg.cc/PqJbxqcJ/Avatar-Maker.png,https://i.postimg.cc/rs1xbRdn/Avatar-Maker-7.png,"['The eyes are doubled in size and the eyebrows and mouth are flipped upside down.', 'Widen the eyes as if he were making a pleading face, flip the eyebrows upside down', 'in the first one his eyes make he look tired, but in the second one his eyes and mouth make he look sad']",3,7
https://i.postimg.cc/SspKPTW4/Avatar-Maker.png,https://i.postimg.cc/tRNsKjSM/Avatar-Maker-1.png,"['eyebrows little bit higher', 'Eyebrows are more curved', 'Lift up the ends of the eyebrows']",4,1
https://i.postimg.cc/SspKPTW4/Avatar-Maker.png,https://i.postimg.cc/hPCfG0q8/Avatar-Maker-2.png,[],4,2
https://i.postimg.cc/SspKPTW4/Avatar-Maker.png,https://i.postimg.cc/ncVXZPNc/Avatar-Maker-3.png,['make a neutral expression with the mouth.'],4,3
https://i.postimg.cc/SspKPTW4/Avatar-Maker.png,https://i.postimg.cc/HkVj87pq/Avatar-Maker-4.png,"['This with a more serious expression.', 'in the first one he look bored and in the second on he look angry', 'Lift the eyebrows to make the person look angrier, squint the eyes a little']",4,4
https://i.postimg.cc/SspKPTW4/Avatar-Maker.png,https://i.postimg.cc/DzGZBk45/Avatar-Maker-5.png,['Left avatar must close eyelids slightly'],4,5
https://i.postimg.cc/SspKPTW4/Avatar-Maker.png,https://i.postimg.cc/d1m0c2By/Avatar-Maker-6.png,"['The eyebrow rose and the mouth normalized.', 'The eyebrows are raised a bit on the outside and pointed inwards toward the nose on the inisde.', 'Straighten the mouth']",4,6
https://i.postimg.cc/SspKPTW4/Avatar-Maker.png,https://i.postimg.cc/rw3s1FsK/Avatar-Maker-7.png,[],4,7
https://i.postimg.cc/mkmCBfwC/Avatar-Maker.png,https://i.postimg.cc/Kv9DyLqw/Avatar-Maker-1.png,"['the shape of his eyebrown in the first picture make him look angry, and in the second one he look normal', 'Curve the eyebrows', 'Left avatar must adjust his eyebrow position to a more relaxed and natural and less intense position']",5,1
https://i.postimg.cc/mkmCBfwC/Avatar-Maker.png,https://i.postimg.cc/vZcL8BCB/Avatar-Maker-2.png,"['Make the eyes smaller and more slanted', 'Left avatar must lose the intensity of his stare and let his eyes relax and droop slightly']",5,2
https://i.postimg.cc/mkmCBfwC/Avatar-Maker.png,https://i.postimg.cc/QdwgFDrq/Avatar-Maker-3.png,"['The left avatar needs to smile.', 'in the first one he look angry, and in the second one his mouth make him look evil', 'make the mouth open and smily']",5,3
https://i.postimg.cc/mkmCBfwC/Avatar-Maker.png,https://i.postimg.cc/mr9YMnLW/Avatar-Maker-4.png,"['shorten the eyebrows and shape the eyes little bit round', 'The second avatar will have curved eyebrows.', 'The man is no longer angry; his face becomes calm.']",5,4
https://i.postimg.cc/mkmCBfwC/Avatar-Maker.png,https://i.postimg.cc/JnWbQQ0D/Avatar-Maker-5.png,"['Make the eyes smaller, slant them, and open the mouth to reveal teeth while smiling', 'The eyes and mouth are more smiling', 'Left avatar must adjust his eye position to a more relaxed and drooped position, also he must smile widely and expose his teeth']",5,5
https://i.postimg.cc/mkmCBfwC/Avatar-Maker.png,https://i.postimg.cc/4yfVDNzX/Avatar-Maker-6.png,"['Open the mouth to show teeth and make the eyebrows curved', 'Left avatar should change is either Sission or from a stern position to a relaxed position. He must also smile and expose his teeth', 'in the first one he look angry because of his eyebrowns, in the second one he looks happy because of his smile']",5,6
https://i.postimg.cc/mkmCBfwC/Avatar-Maker.png,https://i.postimg.cc/4dbp2hH8/Avatar-Maker-7.png,"['in the first one he look angry, and in the second he look happy because of his smile', 'Left avatar must change his eyebrow position from a stern position to a relaxed position then he needs to close his eyes a bit and relax them into a more drooped position. Then he needs to smile and expose his teeth', 'make the mouth open and smily shape the eyebrows and eyes']",5,7
