og_image,updated_image,description_1,description_2,description_3,gold_standard,img_choice,ans_1,ans_2,ans_3,ans_gold_standard,worker_id,set,group
https://i.postimg.cc/3wvyVHpd/Avatar-Maker.png,https://i.postimg.cc/7ZcGKL5F/Avatar-Maker-1.png,Left avatar must enhance eyebrows to thicken them,her eyebrown look different but it doesnt change her facial expression,Make the eyebrows thicker,Made the eyebrows thicker.,https://i.postimg.cc/7ZcGKL5F/Avatar-Maker-1.png,TRUE,FALSE,TRUE,TRUE,A2Z8FF9SK6SR6A,1,1
https://i.postimg.cc/3wvyVHpd/Avatar-Maker.png,https://i.postimg.cc/ydCJzrXn/Avatar-Maker-2.png,Turn the eyes into giant circular eyes,"in the first one she look normal, in the second one she look surprised because of her eyes",Left avatar must open her eyes as widely as she possibly can,"Made the eyes bigger and more open, and added some eyelashes. Looked more surprised.",https://i.postimg.cc/ydCJzrXn/Avatar-Maker-2.png,TRUE,TRUE,TRUE,TRUE,A2Z8FF9SK6SR6A,1,2
https://i.postimg.cc/3wvyVHpd/Avatar-Maker.png,https://i.postimg.cc/vB748L0y/Avatar-Maker-3.png,make the mouth open and smily and eyes little bit open,Open the mouth and show the teeth while smiling,Left avatar must open lips in pleasant smile,Made the mouth open into a smile with teeth showing.,https://i.postimg.cc/vB748L0y/Avatar-Maker-3.png,FALSE,TRUE,TRUE,TRUE,A2Z8FF9SK6SR6A,1,3
https://i.postimg.cc/3wvyVHpd/Avatar-Maker.png,https://i.postimg.cc/XvLMVr9h/Avatar-Maker-4.png,Left avatar must open eyes widely,Enlarge the eyes,make the eyes open wide and round thicken the eyebrows,"Made the eyebrows thicker. Made the eyes bigger and more open, and added some eyelashes. Looked more surprised.",https://i.postimg.cc/XvLMVr9h/Avatar-Maker-4.png,TRUE,TRUE,TRUE,TRUE,A2Z8FF9SK6SR6A,1,4
https://i.postimg.cc/3wvyVHpd/Avatar-Maker.png,https://i.postimg.cc/2yqgFTgR/Avatar-Maker-5.png,"Left avatar must open her eyes as widely as she possibly can. Additionally, she needs to broaden her smile and expose her teeth","Make the eyes much larger and circular, open the mouth to reveal teeth while smiling","in the first one she look more chill, and in the second her eyes and mouth make her look excited","Made the eyes bigger and more open, and added some eyelashes. Looked more surprised. Made the mouth open into a smile with teeth showing.",https://i.postimg.cc/2yqgFTgR/Avatar-Maker-5.png,TRUE,TRUE,TRUE,TRUE,A2Z8FF9SK6SR6A,1,5
https://i.postimg.cc/3wvyVHpd/Avatar-Maker.png,https://i.postimg.cc/FRHM1hZK/Avatar-Maker-6.png,in the first one she look normal and her smile in the second one make her look happy,"She was serious, but soon after she was happy.",Left avatar must smile with teeth exposed and enhance eyebrows to add thickness,Made the eyebrows thicker. Made the mouth open into a smile with teeth showing.,https://i.postimg.cc/FRHM1hZK/Avatar-Maker-6.png,TRUE,TRUE,TRUE,TRUE,A2Z8FF9SK6SR6A,1,6
https://i.postimg.cc/3wvyVHpd/Avatar-Maker.png,https://i.postimg.cc/fLq6912f/Avatar-Maker-7.png,Scared,"The avatar needs to widen their eyes, smile, and draw on thicker eyebrows.","Left avatar must open eyes very widely, smile and expose teeth, and enhance eyebrows to add thickness","Made the eyebrows thicker. Made the eyes bigger and more open, and added some eyelashes. Looked more surprised. Made the mouth open into a smile with teeth showing.",https://i.postimg.cc/fLq6912f/Avatar-Maker-7.png,FALSE,TRUE,TRUE,TRUE,A2Z8FF9SK6SR6A,1,7
https://i.postimg.cc/kGqP9Wpk/Avatar-Maker.png,https://i.postimg.cc/0yBvmMzw/Avatar-Maker-1.png,make the eyebrows thin and sharp,Seem to be with an expression of worry on Monday.,"Left avatar must have her eyebrows waxed to make them more thin, and additionally she needs to change her eyebrow position from an angry position to a worry position",Made the eyebrows thinner and pointing downward into a sad expression.,https://i.postimg.cc/0yBvmMzw/Avatar-Maker-1.png,TRUE,FALSE,TRUE,TRUE,A2Z8FF9SK6SR6A,2,1
https://i.postimg.cc/kGqP9Wpk/Avatar-Maker.png,https://i.postimg.cc/Zn77g3tP/Avatar-Maker-2.png,Enlarge the eyes and make the pupils more visible,The bottom eyelashes are showing under the eyeglasses.,GLASS,Added more eyelashes to the eyes and made the eyeliners thicker. Also made the eyes less squinty.,https://i.postimg.cc/Zn77g3tP/Avatar-Maker-2.png,TRUE,TRUE,FALSE,TRUE,A2Z8FF9SK6SR6A,2,2
https://i.postimg.cc/kGqP9Wpk/Avatar-Maker.png,https://i.postimg.cc/cHqN9pM1/Avatar-Maker-3.png,Close the mouth and make the mouth look a little like a smirk,Close the avatars mouth and make them smile just a little bit.,Left avatar should shut her mouth! She should close her lips so her teeth are no longer exposed then she should adopt a small smile,Closed the mouth and changed it to a slight smile.,https://i.postimg.cc/cHqN9pM1/Avatar-Maker-3.png,TRUE,TRUE,TRUE,TRUE,A2Z8FF9SK6SR6A,2,3
